pair,base,quote,status,last_updated
XRPPAX,XRP,PAX,BREAK,2025-09-16 14:48:48
EOSPAX,EOS,PAX,BREAK,2025-09-16 14:48:48
XLMPAX,XLM,PAX,BREAK,2025-09-16 14:48:48
RENBTC,REN,BTC,BREAK,2025-09-16 14:48:48
RENBNB,REN,BNB,BREAK,2025-09-16 14:48:48
EOSTUSD,EOS,TUSD,BREAK,2025-09-16 14:48:48
XLMTUSD,XLM,TUSD,BREAK,2025-09-16 14:48:48
EOSUSDC,EOS,USDC,BREAK,2025-09-16 14:48:48
ADATUSD,ADA,TUSD,BREAK,2025-09-16 14:48:48
TRXTUSD,TRX,TUSD,BREAK,2025-09-16 14:48:48
NEOTUSD,NEO,TUSD,BREAK,2025-09-16 14:48:48
XZCXRP,XZC,XRP,BREAK,2025-09-16 14:48:48
PAXTUSD,PAX,TUSD,BREAK,2025-09-16 14:48:48
USDCTUSD,USDC,TUSD,BREAK,2025-09-16 14:48:48
USDCPAX,USDC,PAX,BREAK,2025-09-16 14:48:48
LINKTUSD,LINK,TUSD,BREAK,2025-09-16 14:48:48
LINKPAX,LINK,PAX,BREAK,2025-09-16 14:48:48
WAVESUSDT,WAVES,USDT,BREAK,2025-09-16 14:48:48
WAVESTUSD,WAVES,TUSD,BREAK,2025-09-16 14:48:48
WAVESPAX,WAVES,PAX,BREAK,2025-09-16 14:48:48
WAVESUSDC,WAVES,USDC,BREAK,2025-09-16 14:48:48
BCHABCTUSD,BCHABC,TUSD,BREAK,2025-09-16 14:48:48
BCHABCPAX,BCHABC,PAX,BREAK,2025-09-16 14:48:48
BCHABCUSDC,BCHABC,USDC,BREAK,2025-09-16 14:48:48
BCHSVTUSD,BCHSV,TUSD,BREAK,2025-09-16 14:48:48
BCHSVPAX,BCHSV,PAX,BREAK,2025-09-16 14:48:48
BCHSVUSDC,BCHSV,USDC,BREAK,2025-09-16 14:48:48
LTCTUSD,LTC,TUSD,BREAK,2025-09-16 14:48:48
LTCPAX,LTC,PAX,BREAK,2025-09-16 14:48:48
TRXPAX,TRX,PAX,BREAK,2025-09-16 14:48:48
BTTBTC,BTT,BTC,BREAK,2025-09-16 14:48:48
BTTBNB,BTT,BNB,BREAK,2025-09-16 14:48:48
BTTUSDT,BTT,USDT,BREAK,2025-09-16 14:48:48
BNBUSDS,BNB,USDS,BREAK,2025-09-16 14:48:48
BTCUSDS,BTC,USDS,BREAK,2025-09-16 14:48:48
USDSUSDT,USDS,USDT,BREAK,2025-09-16 14:48:48
USDSPAX,USDS,PAX,BREAK,2025-09-16 14:48:48
USDSTUSD,USDS,TUSD,BREAK,2025-09-16 14:48:48
USDSUSDC,USDS,USDC,BREAK,2025-09-16 14:48:48
BTTPAX,BTT,PAX,BREAK,2025-09-16 14:48:48
BTTTUSD,BTT,TUSD,BREAK,2025-09-16 14:48:48
BTTUSDC,BTT,USDC,BREAK,2025-09-16 14:48:48
ONGBNB,ONG,BNB,BREAK,2025-09-16 14:48:48
HOTBNB,HOT,BNB,BREAK,2025-09-16 14:48:48
ZRXBNB,ZRX,BNB,BREAK,2025-09-16 14:48:48
XMRBNB,XMR,BNB,BREAK,2025-09-16 14:48:48
XMRUSDT,XMR,USDT,BREAK,2025-09-16 14:48:48
ZECBNB,ZEC,BNB,BREAK,2025-09-16 14:48:48
ZECPAX,ZEC,PAX,BREAK,2025-09-16 14:48:48
ZECTUSD,ZEC,TUSD,BREAK,2025-09-16 14:48:48
ZECUSDC,ZEC,USDC,BREAK,2025-09-16 14:48:48
CELRBNB,CELR,BNB,BREAK,2025-09-16 14:48:48
CELRBTC,CELR,BTC,BREAK,2025-09-16 14:48:48
ADAPAX,ADA,PAX,BREAK,2025-09-16 14:48:48
NEOPAX,NEO,PAX,BREAK,2025-09-16 14:48:48
DASHBNB,DASH,BNB,BREAK,2025-09-16 14:48:48
NANOUSDT,NANO,USDT,BREAK,2025-09-16 14:48:48
OMGBNB,OMG,BNB,BREAK,2025-09-16 14:48:48
OMGUSDT,OMG,USDT,BREAK,2025-09-16 14:48:48
MITHUSDT,MITH,USDT,BREAK,2025-09-16 14:48:48
MATICBNB,MATIC,BNB,BREAK,2025-09-16 14:48:48
MATICBTC,MATIC,BTC,BREAK,2025-09-16 14:48:48
MATICUSDT,MATIC,USDT,BREAK,2025-09-16 14:48:48
ATOMBNB,ATOM,BNB,BREAK,2025-09-16 14:48:48
ATOMPAX,ATOM,PAX,BREAK,2025-09-16 14:48:48
ATOMTUSD,ATOM,TUSD,BREAK,2025-09-16 14:48:48
ETCPAX,ETC,PAX,BREAK,2025-09-16 14:48:48
ETCTUSD,ETC,TUSD,BREAK,2025-09-16 14:48:48
BATUSDC,BAT,USDC,BREAK,2025-09-16 14:48:48
BATPAX,BAT,PAX,BREAK,2025-09-16 14:48:48
BATTUSD,BAT,TUSD,BREAK,2025-09-16 14:48:48
PHBBNB,PHB,BNB,BREAK,2025-09-16 14:48:48
PHBUSDC,PHB,USDC,BREAK,2025-09-16 14:48:48
PHBTUSD,PHB,TUSD,BREAK,2025-09-16 14:48:48
PHBPAX,PHB,PAX,BREAK,2025-09-16 14:48:48
TFUELBNB,TFUEL,BNB,BREAK,2025-09-16 14:48:48
